"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b"
"1",1850,2719.229074,2719.895158,2719.785677,2719.895158,2719.785677,0,0.666083999999955,0.556602999999996,0.666083999999955,0.556602999999996
"2",1851,2718.713508,2719.3211,2719.106439,2719.3211,2719.106439,0,0.607592000000295,0.392931000000317,0.607592000000295,0.392931000000317
"3",1852,2718.209867,2718.764897,2718.448819,2718.764897,2718.448819,0,0.555029999999988,0.238952000000154,0.555029999999988,0.238952000000154
"4",1853,2717.703199,2718.212628,2717.805706,2718.212628,2717.805706,0,0.509429000000182,0.10250700000006,0.509429000000182,0.10250700000006
"5",1854,2717.447773,2717.905085,2717.416695,2717.905085,2717.416695,0,0.457312000000002,-0.0310779999999795,0.457312000000002,-0.0310779999999795
"6",1855,2717.292419,2717.700941,2717.128749,2717.700941,2717.128749,0,0.408522000000175,-0.163669999999911,0.408522000000175,-0.163669999999911
"7",1856,2716.937729,2717.298112,2716.643256,2717.298112,2716.643256,0,0.360382999999729,-0.29447300000038,0.360382999999729,-0.29447300000038
"8",1857,2716.367815,2716.684851,2715.960728,2716.684851,2715.960728,0,0.317035999999916,-0.407087000000047,0.317035999999916,-0.407087000000047
"9",1858,2715.999244,2716.272024,2715.473133,2716.272024,2715.473133,0,0.272779999999784,-0.526111000000128,0.272779999999784,-0.526111000000128
"10",1859,2715.857897,2716.084792,2715.216402,2716.084792,2715.216402,0,0.226895000000241,-0.64149499999985,0.226895000000241,-0.64149499999985
"11",1860,2715.517047,2715.703137,2714.770687,2715.703137,2714.770687,0,0.186090000000149,-0.74635999999964,0.186090000000149,-0.74635999999964
"12",1861,2715.146473,2715.293415,2714.297901,2715.293415,2714.297901,0,0.146942000000308,-0.848571999999876,0.146942000000308,-0.848571999999876
"13",1862,2714.87839,2714.983686,2713.924222,2714.983686,2713.924222,0,0.10529600000018,-0.954167999999754,0.10529600000018,-0.954167999999754
"14",1863,2714.743707,2714.808392,2713.684003,2714.808392,2713.684003,0,0.0646849999998267,-1.05970400000024,0.0646849999998267,-1.05970400000024
"15",1864,2714.359584,2714.386208,2713.206607,2714.386208,2713.206607,0,0.0266240000000835,-1.15297699999974,0.0266240000000835,-1.15297699999974
"16",1865,2714.16305,2714.153804,2712.917166,2714.153804,2712.917166,0,-0.00924600000007558,-1.24588399999993,-0.00924600000007558,-1.24588399999993
"17",1866,2713.823209,2713.773067,2712.481781,2713.773067,2712.481781,0,-0.0501420000000508,-1.34142800000018,-0.0501420000000508,-1.34142800000018
"18",1867,2713.428805,2713.337573,2711.993001,2713.337573,2711.993001,0,-0.0912320000002182,-1.43580400000019,-0.0912320000002182,-1.43580400000019
"19",1868,2713.257656,2713.12605,2711.723945,2713.12605,2711.723945,0,-0.131606000000374,-1.53371100000004,-0.131606000000374,-1.53371100000004
"20",1869,2712.943758,2712.774976,2711.322287,2712.774976,2711.322287,0,-0.168781999999737,-1.62147099999993,-0.168781999999737,-1.62147099999993
"21",1870,2712.676219,2712.475944,2710.976228,2712.475944,2710.976228,0,-0.200275000000147,-1.69999099999995,-0.200275000000147,-1.69999099999995
"22",1871,2712.548276,2712.312909,2710.764476,2712.312909,2710.764476,0,-0.235366999999769,-1.78380000000016,-0.235366999999769,-1.78380000000016
"23",1872,2712.377334,2712.103777,2710.506301,2712.103777,2710.506301,0,-0.273556999999983,-1.8710329999999,-0.273556999999983,-1.8710329999999
"24",1873,2712.148817,2711.840287,2710.195323,2711.840287,2710.195323,0,-0.308529999999791,-1.95349399999986,-0.308529999999791,-1.95349399999986
"25",1874,2712.092752,2711.748479,2710.059393,2711.748479,2710.059393,0,-0.344273000000157,-2.03335900000002,-0.344273000000157,-2.03335900000002
"26",1875,2712.120492,2711.739483,2710.00162,2711.739483,2710.00162,0,-0.381009000000176,-2.11887200000001,-0.381009000000176,-2.11887200000001
"27",1876,2711.949077,2711.533037,2709.745213,2711.533037,2709.745213,0,-0.416040000000066,-2.20386400000007,-0.416040000000066,-2.20386400000007
"28",1877,2711.547485,2711.09684,2709.26556,2711.09684,2709.26556,0,-0.450644999999895,-2.28192500000023,-0.450644999999895,-2.28192500000023
"29",1878,2711.342823,2710.856162,2708.973069,2710.856162,2708.973069,0,-0.486660999999913,-2.36975399999983,-0.486660999999913,-2.36975399999983
"30",1879,2711.361101,2710.831477,2708.901675,2710.831477,2708.901675,0,-0.529623999999785,-2.45942599999989,-0.529623999999785,-2.45942599999989
"31",1880,2711.194856,2710.628049,2708.653436,2710.628049,2708.653436,0,-0.566807000000153,-2.54142000000002,-0.566807000000153,-2.54142000000002
"32",1881,2710.978478,2710.375435,2708.355098,2710.375435,2708.355098,0,-0.603043000000071,-2.62338,-0.603043000000071,-2.62338
"33",1882,2710.847033,2710.203673,2708.134188,2710.203673,2708.134188,0,-0.64336000000003,-2.71284500000002,-0.64336000000003,-2.71284500000002
"34",1883,2710.864473,2710.181921,2708.060543,2710.181921,2708.060543,0,-0.682552000000214,-2.80393000000004,-0.682552000000214,-2.80393000000004
"35",1884,2710.628378,2709.913771,2707.750066,2709.913771,2707.750066,0,-0.714606999999887,-2.87831199999982,-0.714606999999887,-2.87831199999982
"36",1885,2710.578748,2709.827849,2707.614962,2709.827849,2707.614962,0,-0.750899000000118,-2.9637859999998,-0.750899000000118,-2.9637859999998
"37",1886,2710.374924,2709.584763,2707.326454,2709.584763,2707.326454,0,-0.790161000000353,-3.04847000000018,-0.790161000000353,-3.04847000000018
"38",1887,2710.121457,2709.293533,2706.991992,2709.293533,2706.991992,0,-0.827924000000166,-3.12946499999998,-0.827924000000166,-3.12946499999998
"39",1888,2710.092584,2709.22331,2706.866637,2709.22331,2706.866637,0,-0.869274000000132,-3.22594699999991,-0.869274000000132,-3.22594699999991
"40",1889,2709.926842,2709.020733,2706.618806,2709.020733,2706.618806,0,-0.906109000000015,-3.3080359999999,-0.906109000000015,-3.3080359999999
"41",1890,2709.809326,2708.868497,2706.426054,2708.868497,2706.426054,0,-0.940829000000122,-3.38327200000003,-0.940829000000122,-3.38327200000003
"42",1891,2709.820266,2708.839513,2706.352491,2708.839513,2706.352491,0,-0.980753000000277,-3.46777500000007,-0.980753000000277,-3.46777500000007
"43",1892,2709.778651,2708.756005,2706.22469,2708.756005,2706.22469,0,-1.0226459999999,-3.55396100000007,-1.0226459999999,-3.55396100000007
"44",1893,2709.678561,2708.628295,2706.055362,2708.628295,2706.055362,0,-1.05026600000019,-3.62319900000011,-1.05026600000019,-3.62319900000011
"45",1894,2709.735197,2708.647046,2706.033238,2708.647046,2706.033238,0,-1.08815099999993,-3.70195899999999,-1.08815099999993,-3.70195899999999
"46",1895,2709.886814,2708.759532,2706.100145,2708.759532,2706.100145,0,-1.12728199999992,-3.78666900000007,-1.12728199999992,-3.78666900000007
"47",1896,2709.838968,2708.676125,2705.973461,2708.676125,2705.973461,0,-1.16284300000007,-3.86550699999998,-1.16284300000007,-3.86550699999998
"48",1897,2709.552483,2708.359839,2705.618665,2708.359839,2705.618665,0,-1.19264399999975,-3.93381799999997,-1.19264399999975,-3.93381799999997
"49",1898,2709.444744,2708.219063,2705.430455,2708.219063,2705.430455,0,-1.22568099999989,-4.01428899999974,-1.22568099999989,-4.01428899999974
