"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b","ctrl1a_trt1a_co2eq","ctrl1a_trt2a_co2eq","ctrl1a_trt1b_co2eq","ctrl1a_trt2b_co2eq"
"1",1850,2719.229074,2719.895158,2719.785677,2719.895158,2719.785677,0,0.666083999999955,0.556602999999996,0.666083999999955,0.556602999999996,-2.44452827999984,-2.04273300999998,-2.44452827999984,-2.04273300999998
"2",1851,2718.713508,2719.3211,2719.106439,2719.3211,2719.106439,0,0.607592000000295,0.392931000000317,0.607592000000295,0.392931000000317,-2.22986264000108,-1.44205677000116,-2.22986264000108,-1.44205677000116
"3",1852,2718.209867,2718.764897,2718.448819,2718.764897,2718.448819,0,0.555029999999988,0.238952000000154,0.555029999999988,0.238952000000154,-2.03696009999996,-0.876953840000565,-2.03696009999996,-0.876953840000565
"4",1853,2717.703199,2718.212628,2717.805706,2718.212628,2717.805706,0,0.509429000000182,0.10250700000006,0.509429000000182,0.10250700000006,-1.86960443000067,-0.376200690000219,-1.86960443000067,-0.376200690000219
"5",1854,2717.447773,2717.905085,2717.416695,2717.905085,2717.416695,0,0.457312000000002,-0.0310779999999795,0.457312000000002,-0.0310779999999795,-1.67833504000001,0.114056259999925,-1.67833504000001,0.114056259999925
"6",1855,2717.292419,2717.700941,2717.128749,2717.700941,2717.128749,0,0.408522000000175,-0.163669999999911,0.408522000000175,-0.163669999999911,-1.49927574000064,0.600668899999673,-1.49927574000064,0.600668899999673
"7",1856,2716.937729,2717.298112,2716.643256,2717.298112,2716.643256,0,0.360382999999729,-0.29447300000038,0.360382999999729,-0.29447300000038,-1.322605609999,1.08071591000139,-1.322605609999,1.08071591000139
"8",1857,2716.367815,2716.684851,2715.960728,2716.684851,2715.960728,0,0.317035999999916,-0.407087000000047,0.317035999999916,-0.407087000000047,-1.16352211999969,1.49400929000017,-1.16352211999969,1.49400929000017
"9",1858,2715.999244,2716.272024,2715.473133,2716.272024,2715.473133,0,0.272779999999784,-0.526111000000128,0.272779999999784,-0.526111000000128,-1.00110259999921,1.93082737000047,-1.00110259999921,1.93082737000047
"10",1859,2715.857897,2716.084792,2715.216402,2716.084792,2715.216402,0,0.226895000000241,-0.64149499999985,0.226895000000241,-0.64149499999985,-0.832704650000883,2.35428664999945,-0.832704650000883,2.35428664999945
"11",1860,2715.517047,2715.703137,2714.770687,2715.703137,2714.770687,0,0.186090000000149,-0.74635999999964,0.186090000000149,-0.74635999999964,-0.682950300000548,2.73914119999868,-0.682950300000548,2.73914119999868
"12",1861,2715.146473,2715.293415,2714.297901,2715.293415,2714.297901,0,0.146942000000308,-0.848571999999876,0.146942000000308,-0.848571999999876,-0.539277140001132,3.11425923999955,-0.539277140001132,3.11425923999955
"13",1862,2714.87839,2714.983686,2713.924222,2714.983686,2713.924222,0,0.10529600000018,-0.954167999999754,0.10529600000018,-0.954167999999754,-0.386436320000662,3.5017965599991,-0.386436320000662,3.5017965599991
"14",1863,2714.743707,2714.808392,2713.684003,2714.808392,2713.684003,0,0.0646849999998267,-1.05970400000024,0.0646849999998267,-1.05970400000024,-0.237393949999364,3.88911368000087,-0.237393949999364,3.88911368000087
"15",1864,2714.359584,2714.386208,2713.206607,2714.386208,2713.206607,0,0.0266240000000835,-1.15297699999974,0.0266240000000835,-1.15297699999974,-0.0977100800003063,4.23142558999904,-0.0977100800003063,4.23142558999904
"16",1865,2714.16305,2714.153804,2712.917166,2714.153804,2712.917166,0,-0.00924600000007558,-1.24588399999993,-0.00924600000007558,-1.24588399999993,0.0339328200002774,4.57239427999975,0.0339328200002774,4.57239427999975
"17",1866,2713.823209,2713.773067,2712.481781,2713.773067,2712.481781,0,-0.0501420000000508,-1.34142800000018,-0.0501420000000508,-1.34142800000018,0.184021140000186,4.92304076000065,0.184021140000186,4.92304076000065
"18",1867,2713.428805,2713.337573,2711.993001,2713.337573,2711.993001,0,-0.0912320000002182,-1.43580400000019,-0.0912320000002182,-1.43580400000019,0.334821440000801,5.26940068000069,0.334821440000801,5.26940068000069
"19",1868,2713.257656,2713.12605,2711.723945,2713.12605,2711.723945,0,-0.131606000000374,-1.53371100000004,-0.131606000000374,-1.53371100000004,0.482994020001374,5.62871937000014,0.482994020001374,5.62871937000014
"20",1869,2712.943758,2712.774976,2711.322287,2712.774976,2711.322287,0,-0.168781999999737,-1.62147099999993,-0.168781999999737,-1.62147099999993,0.619429939999036,5.95079856999974,0.619429939999036,5.95079856999974
"21",1870,2712.676219,2712.475944,2710.976228,2712.475944,2710.976228,0,-0.200275000000147,-1.69999099999995,-0.200275000000147,-1.69999099999995,0.735009250000539,6.23896696999983,0.735009250000539,6.23896696999983
"22",1871,2712.548276,2712.312909,2710.764476,2712.312909,2710.764476,0,-0.235366999999769,-1.78380000000016,-0.235366999999769,-1.78380000000016,0.863796889999153,6.54654600000057,0.863796889999153,6.54654600000057
"23",1872,2712.377334,2712.103777,2710.506301,2712.103777,2710.506301,0,-0.273556999999983,-1.8710329999999,-0.273556999999983,-1.8710329999999,1.00395418999994,6.86669110999962,1.00395418999994,6.86669110999962
"24",1873,2712.148817,2711.840287,2710.195323,2711.840287,2710.195323,0,-0.308529999999791,-1.95349399999986,-0.308529999999791,-1.95349399999986,1.13230509999923,7.1693229799995,1.13230509999923,7.1693229799995
"25",1874,2712.092752,2711.748479,2710.059393,2711.748479,2710.059393,0,-0.344273000000157,-2.03335900000002,-0.344273000000157,-2.03335900000002,1.26348191000058,7.46242753000007,1.26348191000058,7.46242753000007
"26",1875,2712.120492,2711.739483,2710.00162,2711.739483,2710.00162,0,-0.381009000000176,-2.11887200000001,-0.381009000000176,-2.11887200000001,1.39830303000065,7.77626024000004,1.39830303000065,7.77626024000004
"27",1876,2711.949077,2711.533037,2709.745213,2711.533037,2709.745213,0,-0.416040000000066,-2.20386400000007,-0.416040000000066,-2.20386400000007,1.52686680000024,8.08818088000024,1.52686680000024,8.08818088000024
"28",1877,2711.547485,2711.09684,2709.26556,2711.09684,2709.26556,0,-0.450644999999895,-2.28192500000023,-0.450644999999895,-2.28192500000023,1.65386714999961,8.37466475000084,1.65386714999961,8.37466475000084
